date,termijn,spreker,rol,indegree,aantal_interrupts,interruptors,interruptie_volgorde,OnderwerpDebat,url,aantal_interrupts_mean,indegree_mean,Gesthuizen,Klaver,Klein,Krol,Kuiken,Kuzu,Pechtold,Roemer,Samsom,Segers,Slob,Thieme,Van Haersma Buma,Van Ojik,Van der Staaij,Voordewind,Zijlstra,Öztürk
20122013-03-08,1,Wilders,De heer,0.0,0,{},,Debat verkiezingsuitslag,https://zoek.officielebekendmakingen.nl/h-tk-20122013-3-8.html ,8.41666666667,2.08333333333,,,,,,,,,,,,,,,,,,
20122013-07-16,1,Wilders,De heer,0.0,0,{},,Deelakkoord begroting 2013,https://zoek.officielebekendmakingen.nl/h-tk-20122013-7-16.html ,7.15384615385,1.69230769231,,,,,,,,,,,,,,,,,,
20122013-100-03,1,Wilders,De heer,0.0,0,{},,Aanbevelingen Europese Commissie extra bezuinigingen,https://zoek.officielebekendmakingen.nl/h-tk-20122013-100-3.html ,9.72727272727,1.45454545455,,,,,,,,,,,,,,,,,,
20122013-100-06,1,Wilders,De heer,0.0,0,{},,Aanbevelingen Europese Commissie bezuinigingen,https://zoek.officielebekendmakingen.nl/h-tk-20122013-100-6.html ,1.90909090909,0.909090909091,,,,,,,,,,,,,,,,,,
20122013-17-06,1,Wilders,De heer,1.0,3,{u'Pechtold': 3},Pechtold-Pechtold-Pechtold,Eindverslag informateurs,https://zoek.officielebekendmakingen.nl/h-tk-20122013-17-6.html ,0.555555555556,0.222222222222,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20122013-17-09,1,Wilders,De heer,0.0,0,{},,Eindverslag infomateurs,https://zoek.officielebekendmakingen.nl/h-tk-20122013-17-9.html ,3.25,0.75,,,,,,,,,,,,,,,,,,
20122013-21-04,1,Wilders,De heer,1.0,3,{u'Pechtold': 3},Pechtold-Pechtold-Pechtold,Debat regeringsverklaring,https://zoek.officielebekendmakingen.nl/h-tk-20122013-21-4.html ,10.2727272727,1.63636363636,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20122013-22-08,1,Wilders,De heer,0.0,0,{},,Debat regeringsverklaring,https://zoek.officielebekendmakingen.nl/h-tk-20122013-22-8.html ,0.181818181818,0.181818181818,,,,,,,,,,,,,,,,,,
20122013-32-06,1,Wilders,De heer,0.0,0,{},,Aftreden staatssecretaris Economische Zaken,https://zoek.officielebekendmakingen.nl/h-tk-20122013-32-6.html ,1.90909090909,0.727272727273,,,,,,,,,,,,,,,,,,
20122013-48-23,1,Wilders,De heer,0.0,0,{},,Toespraak premier Cameron,https://zoek.officielebekendmakingen.nl/h-tk-20122013-48-23.html ,6.9,1.7,,,,,,,,,,,,,,,,,,
20122013-57-21,1,Wilders,De heer,1.0,6,{u'Pechtold': 6},Pechtold-Pechtold-Pechtold-Pechtold-Pechtold-Pechtold,Kabinetsbeleid crisis,https://zoek.officielebekendmakingen.nl/h-tk-20122013-57-21.html ,6.16666666667,1.25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20122013-76-03,1,Wilders,De heer,0.0,0,{},,Sociaal akkoord,https://zoek.officielebekendmakingen.nl/h-tk-20122013-76-3.html ,7.72727272727,1.54545454545,,,,,,,,,,,,,,,,,,
20122013-76-06,1,Wilders,De heer,0.0,0,{},,Sociaal akkoord,https://zoek.officielebekendmakingen.nl/h-tk-20122013-76-6.html ,1.6,0.8,,,,,,,,,,,,,,,,,,
